Postcode,Region,RegionA,Area
1579,Central & Northern Sydney,C+N Sydney,Metro
2000,Central & Northern Sydney,C+N Sydney,Metro
2001,Central & Northern Sydney,C+N Sydney,Metro
2002,Central & Northern Sydney,C+N Sydney,Metro
2003,Central & Northern Sydney,C+N Sydney,Metro
2004,Central & Northern Sydney,C+N Sydney,Metro
2005,Central & Northern Sydney,C+N Sydney,Metro
2006,Central & Northern Sydney,C+N Sydney,Metro
2007,Central & Northern Sydney,C+N Sydney,Metro
2008,Central & Northern Sydney,C+N Sydney,Metro
2009,Central & Northern Sydney,C+N Sydney,Metro
2010,Central & Northern Sydney,C+N Sydney,Metro
2011,Central & Northern Sydney,C+N Sydney,Metro
2012,Central & Northern Sydney,C+N Sydney,Metro
2013,Central & Northern Sydney,C+N Sydney,Metro
2014,Central & Northern Sydney,C+N Sydney,Metro
2015,Central & Northern Sydney,C+N Sydney,Metro
2016,Central & Northern Sydney,C+N Sydney,Metro
2017,Central & Northern Sydney,C+N Sydney,Metro
2018,Central & Northern Sydney,C+N Sydney,Metro
2019,Central & Northern Sydney,C+N Sydney,Metro
2020,Southern & South Western Sydney,S+SW Sydney,Metro
2021,Central & Northern Sydney,C+N Sydney,Metro
2022,Central & Northern Sydney,C+N Sydney,Metro
2023,Central & Northern Sydney,C+N Sydney,Metro
2024,Central & Northern Sydney,C+N Sydney,Metro
2025,Central & Northern Sydney,C+N Sydney,Metro
2026,Central & Northern Sydney,C+N Sydney,Metro
2027,Central & Northern Sydney,C+N Sydney,Metro
2028,Central & Northern Sydney,C+N Sydney,Metro
2029,Central & Northern Sydney,C+N Sydney,Metro
2030,Central & Northern Sydney,C+N Sydney,Metro
2031,Central & Northern Sydney,C+N Sydney,Metro
2032,Central & Northern Sydney,C+N Sydney,Metro
2033,Central & Northern Sydney,C+N Sydney,Metro
2034,Central & Northern Sydney,C+N Sydney,Metro
2035,Central & Northern Sydney,C+N Sydney,Metro
2036,Central & Northern Sydney,C+N Sydney,Metro
2037,Central & Northern Sydney,C+N Sydney,Metro
2038,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2039,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2040,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2041,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2042,Central & Northern Sydney,C+N Sydney,Metro
2043,Central & Northern Sydney,C+N Sydney,Metro
2044,Central & Northern Sydney,C+N Sydney,Metro
2045,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2046,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2047,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2048,Central & Northern Sydney,C+N Sydney,Metro
2049,Southern & South Western Sydney,S+SW Sydney,Metro
2050,Central & Northern Sydney,C+N Sydney,Metro
2052,Central & Northern Sydney,C+N Sydney,Metro
2053,Central & Northern Sydney,C+N Sydney,Metro
2054,Central & Northern Sydney,C+N Sydney,Metro
2055,Central & Northern Sydney,C+N Sydney,Metro
2056,Central & Northern Sydney,C+N Sydney,Metro
2057,Central & Northern Sydney,C+N Sydney,Metro
2058,Central & Northern Sydney,C+N Sydney,Metro
2059,Central & Northern Sydney,C+N Sydney,Metro
2060,Central & Northern Sydney,C+N Sydney,Metro
2061,Central & Northern Sydney,C+N Sydney,Metro
2062,Central & Northern Sydney,C+N Sydney,Metro
2063,Central & Northern Sydney,C+N Sydney,Metro
2064,Central & Northern Sydney,C+N Sydney,Metro
2065,Central & Northern Sydney,C+N Sydney,Metro
2066,Central & Northern Sydney,C+N Sydney,Metro
2067,Central & Northern Sydney,C+N Sydney,Metro
2068,Central & Northern Sydney,C+N Sydney,Metro
2069,Central & Northern Sydney,C+N Sydney,Metro
2070,Central & Northern Sydney,C+N Sydney,Metro
2071,Central & Northern Sydney,C+N Sydney,Metro
2072,Central & Northern Sydney,C+N Sydney,Metro
2073,Central & Northern Sydney,C+N Sydney,Metro
2074,Central & Northern Sydney,C+N Sydney,Metro
2075,Central & Northern Sydney,C+N Sydney,Metro
2076,Central & Northern Sydney,C+N Sydney,Metro
2077,Central & Northern Sydney,C+N Sydney,Metro
2078,Central & Northern Sydney,C+N Sydney,Metro
2079,Central & Northern Sydney,C+N Sydney,Metro
2080,Central & Northern Sydney,C+N Sydney,Metro
2081,Central & Northern Sydney,C+N Sydney,Metro
2082,Central & Northern Sydney,C+N Sydney,Metro
2083,Central & Northern Sydney,C+N Sydney,Metro
2084,Central & Northern Sydney,C+N Sydney,Metro
2085,Central & Northern Sydney,C+N Sydney,Metro
2086,Central & Northern Sydney,C+N Sydney,Metro
2087,Central & Northern Sydney,C+N Sydney,Metro
2088,Central & Northern Sydney,C+N Sydney,Metro
2089,Central & Northern Sydney,C+N Sydney,Metro
2090,Central & Northern Sydney,C+N Sydney,Metro
2091,Central & Northern Sydney,C+N Sydney,Metro
2092,Central & Northern Sydney,C+N Sydney,Metro
2093,Central & Northern Sydney,C+N Sydney,Metro
2094,Central & Northern Sydney,C+N Sydney,Metro
2095,Central & Northern Sydney,C+N Sydney,Metro
2096,Central & Northern Sydney,C+N Sydney,Metro
2097,Central & Northern Sydney,C+N Sydney,Metro
2098,Central & Northern Sydney,C+N Sydney,Metro
2099,Central & Northern Sydney,C+N Sydney,Metro
2100,Central & Northern Sydney,C+N Sydney,Metro
2101,Central & Northern Sydney,C+N Sydney,Metro
2102,Central & Northern Sydney,C+N Sydney,Metro
2103,Central & Northern Sydney,C+N Sydney,Metro
2104,Central & Northern Sydney,C+N Sydney,Metro
2105,Central & Northern Sydney,C+N Sydney,Metro
2106,Central & Northern Sydney,C+N Sydney,Metro
2107,Central & Northern Sydney,C+N Sydney,Metro
2108,Central & Northern Sydney,C+N Sydney,Metro
2109,Central & Northern Sydney,C+N Sydney,Metro
2110,Central & Northern Sydney,C+N Sydney,Metro
2111,Central & Northern Sydney,C+N Sydney,Metro
2112,Central & Northern Sydney,C+N Sydney,Metro
2113,Central & Northern Sydney,C+N Sydney,Metro
2114,Central & Northern Sydney,C+N Sydney,Metro
2115,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2116,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2117,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2118,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2119,Central & Northern Sydney,C+N Sydney,Metro
2120,Central & Northern Sydney,C+N Sydney,Metro
2121,Central & Northern Sydney,C+N Sydney,Metro
2122,Central & Northern Sydney,C+N Sydney,Metro
2123,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2124,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2125,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2126,Central & Northern Sydney,C+N Sydney,Metro
2127,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2128,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2130,Southern & South Western Sydney,S+SW Sydney,Metro
2131,Southern & South Western Sydney,S+SW Sydney,Metro
2132,Southern & South Western Sydney,S+SW Sydney,Metro
2133,Southern & South Western Sydney,S+SW Sydney,Metro
2134,Southern & South Western Sydney,S+SW Sydney,Metro
2135,Southern & South Western Sydney,S+SW Sydney,Metro
2136,Southern & South Western Sydney,S+SW Sydney,Metro
2137,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2138,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2139,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2140,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2141,Southern & South Western Sydney,S+SW Sydney,Metro
2142,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2143,Southern & South Western Sydney,S+SW Sydney,Metro
2144,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2145,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2146,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2147,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2148,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2149,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2150,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2151,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2152,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2153,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2154,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2155,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2156,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2157,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2158,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2159,Central & Northern Sydney,C+N Sydney,Metro
2160,Western Sydney & Blue Mountains,W Sydney +BM,Metro
2161,Southern & South Western Sydney,S+SW Sydney,Metro
2162,Southern & South Western Sydney,S+SW Sydney,Metro
2163,Southern & South Western Sydney,S+SW Sydney,Metro
2164,Southern & South Western Sydney,S+SW Sydney,Metro
2165,Southern & South Western Sydney,S+SW Sydney,Metro
2166,Southern & South Western Sydney,S+SW Sydney,Metro
2167,Southern & South Western Sydney,S+SW Sydney,Metro
2168,Southern & South Western Sydney,S+SW Sydney,Metro
2169,Southern & South Western Sydney,S+SW Sydney,Metro
2170,Southern & South Western Sydney,S+SW Sydney,Metro
2171,Southern & South Western Sydney,S+SW Sydney,Metro
2172,Southern & South Western Sydney,S+SW Sydney,Metro
2173,Southern & South Western Sydney,S+SW Sydney,Metro
2174,Southern & South Western Sydney,S+SW Sydney,Metro
2175,Southern & South Western Sydney,S+SW Sydney,Metro
2176,Southern & South Western Sydney,S+SW Sydney,Metro
2177,Southern & South Western Sydney,S+SW Sydney,Metro
2178,Southern & South Western Sydney,S+SW Sydney,Metro
2179,Southern & South Western Sydney,S+SW Sydney,Metro
2190,Southern & South Western Sydney,S+SW Sydney,Metro
2191,Southern & South Western Sydney,S+SW Sydney,Metro
2192,Southern & South Western Sydney,S+SW Sydney,Metro
2193,Southern & South Western Sydney,S+SW Sydney,Metro
2194,Southern & South Western Sydney,S+SW Sydney,Metro
2195,Southern & South Western Sydney,S+SW Sydney,Metro
2196,Southern & South Western Sydney,S+SW Sydney,Metro
2197,Southern & South Western Sydney,S+SW Sydney,Metro
2198,Southern & South Western Sydney,S+SW Sydney,Metro
2199,Southern & South Western Sydney,S+SW Sydney,Metro
2200,Southern & South Western Sydney,S+SW Sydney,Metro
2201,Southern & South Western Sydney,S+SW Sydney,Metro
2202,Southern & South Western Sydney,S+SW Sydney,Metro
2203,Southern & South Western Sydney,S+SW Sydney,Metro
2204,Central & Northern Sydney,C+N Sydney,Metro
2205,Southern & South Western Sydney,S+SW Sydney,Metro
2206,Southern & South Western Sydney,S+SW Sydney,Metro
2207,Southern & South Western Sydney,S+SW Sydney,Metro
2208,Southern & South Western Sydney,S+SW Sydney,Metro
2209,Southern & South Western Sydney,S+SW Sydney,Metro
2210,Southern & South Western Sydney,S+SW Sydney,Metro
2211,Southern & South Western Sydney,S+SW Sydney,Metro
2212,Southern & South Western Sydney,S+SW Sydney,Metro
2213,Southern & South Western Sydney,S+SW Sydney,Metro
2214,Southern & South Western Sydney,S+SW Sydney,Metro
2215,Southern & South Western Sydney,S+SW Sydney,Metro
2216,Southern & South Western Sydney,S+SW Sydney,Metro
2217,Southern & South Western Sydney,S+SW Sydney,Metro
2218,Southern & South Western Sydney,S+SW Sydney,Metro
2219,Southern & South Western Sydney,S+SW Sydney,Metro
2220,Southern & South Western Sydney,S+SW Sydney,Metro
2221,Southern & South Western Sydney,S+SW Sydney,Metro
2222,Southern & South Western Sydney,S+SW Sydney,Metro
2223,Southern & South Western Sydney,S+SW Sydney,Metro
2224,Southern & South Western Sydney,S+SW Sydney,Metro
2225,Southern & South Western Sydney,S+SW Sydney,Metro
2226,Southern & South Western Sydney,S+SW Sydney,Metro
2227,Southern & South Western Sydney,S+SW Sydney,Metro
2228,Southern & South Western Sydney,S+SW Sydney,Metro
2229,Southern & South Western Sydney,S+SW Sydney,Metro
2230,Southern & South Western Sydney,S+SW Sydney,Metro
2231,Southern & South Western Sydney,S+SW Sydney,Metro
2232,Southern & South Western Sydney,S+SW Sydney,Metro
2233,Southern & South Western Sydney,S+SW Sydney,Metro
2234,Southern & South Western Sydney,S+SW Sydney,Metro
2250,Hunter & Central Coast,Hunter+CC,Coastal
2251,Hunter & Central Coast,Hunter+CC,Coastal
2252,Hunter & Central Coast,Hunter+CC,Coastal
2253,Hunter & Central Coast,Hunter+CC,Coastal
2254,Hunter & Central Coast,Hunter+CC,Coastal
2255,Hunter & Central Coast,Hunter+CC,Coastal
2256,Hunter & Central Coast,Hunter+CC,Coastal
2257,Hunter & Central Coast,Hunter+CC,Coastal
2258,Hunter & Central Coast,Hunter+CC,Coastal
2259,Hunter & Central Coast,Hunter+CC,Coastal
2260,Hunter & Central Coast,Hunter+CC,Coastal
2261,Hunter & Central Coast,Hunter+CC,Coastal
2262,Hunter & Central Coast,Hunter+CC,Coastal
2263,Hunter & Central Coast,Hunter+CC,Coastal
2264,Hunter & Central Coast,Hunter+CC,Coastal
2265,Hunter & Central Coast,Hunter+CC,Coastal
2266,Hunter & Central Coast,Hunter+CC,Coastal
2267,Hunter & Central Coast,Hunter+CC,Coastal
2268,Hunter & Central Coast,Hunter+CC,Coastal
2269,Hunter & Central Coast,Hunter+CC,Coastal
2270,Hunter & Central Coast,Hunter+CC,Coastal
2271,Hunter & Central Coast,Hunter+CC,Coastal
2272,Hunter & Central Coast,Hunter+CC,Coastal
2273,Hunter & Central Coast,Hunter+CC,Coastal
2274,Hunter & Central Coast,Hunter+CC,Coastal
2275,Hunter & Central Coast,Hunter+CC,Coastal
2276,Hunter & Central Coast,Hunter+CC,Coastal
2277,Hunter & Central Coast,Hunter+CC,Coastal
2278,Hunter & Central Coast,Hunter+CC,Coastal
2279,Hunter & Central Coast,Hunter+CC,Coastal
2280,Hunter & Central Coast,Hunter+CC,Coastal
2281,Hunter & Central Coast,Hunter+CC,Coastal
2282,Hunter & Central Coast,Hunter+CC,Coastal
2283,Hunter & Central Coast,Hunter+CC,Coastal
2284,Hunter & Central Coast,Hunter+CC,Coastal
2285,Hunter & Central Coast,Hunter+CC,Coastal
2286,Hunter & Central Coast,Hunter+CC,Coastal
2287,Hunter & Central Coast,Hunter+CC,Coastal
2288,Hunter & Central Coast,Hunter+CC,Coastal
2289,Hunter & Central Coast,Hunter+CC,Coastal
2290,Hunter & Central Coast,Hunter+CC,Coastal
2291,Hunter & Central Coast,Hunter+CC,Coastal
2292,Hunter & Central Coast,Hunter+CC,Coastal
2293,Hunter & Central Coast,Hunter+CC,Coastal
2294,Hunter & Central Coast,Hunter+CC,Coastal
2295,Hunter & Central Coast,Hunter+CC,Coastal
2296,Hunter & Central Coast,Hunter+CC,Coastal
2297,Hunter & Central Coast,Hunter+CC,Coastal
2298,Hunter & Central Coast,Hunter+CC,Coastal
2299,Hunter & Central Coast,Hunter+CC,Coastal
2300,Hunter & Central Coast,Hunter+CC,Coastal
2301,Hunter & Central Coast,Hunter+CC,Coastal
2302,Hunter & Central Coast,Hunter+CC,Coastal
2303,Hunter & Central Coast,Hunter+CC,Coastal
2304,Hunter & Central Coast,Hunter+CC,Coastal
2305,Hunter & Central Coast,Hunter+CC,Coastal
2306,Hunter & Central Coast,Hunter+CC,Coastal
2307,Hunter & Central Coast,Hunter+CC,Coastal
2308,Hunter & Central Coast,Hunter+CC,Coastal
2309,Hunter & Central Coast,Hunter+CC,Coastal
2310,Hunter & Central Coast,Hunter+CC,Coastal
2311,Hunter & Central Coast,Hunter+CC,Coastal
2312,North Coast & Mid North Coast,N+MN Coast,Coastal
2313,Hunter & Central Coast,Hunter+CC,Coastal
2314,Hunter & Central Coast,Hunter+CC,Coastal
2315,Hunter & Central Coast,Hunter+CC,Coastal
2316,Hunter & Central Coast,Hunter+CC,Coastal
2317,Hunter & Central Coast,Hunter+CC,Coastal
2318,Hunter & Central Coast,Hunter+CC,Coastal
2319,Hunter & Central Coast,Hunter+CC,Coastal
2320,Hunter & Central Coast,Hunter+CC,Coastal
2321,Hunter & Central Coast,Hunter+CC,Coastal
2322,Hunter & Central Coast,Hunter+CC,Coastal
2323,Hunter & Central Coast,Hunter+CC,Coastal
2324,Hunter & Central Coast,Hunter+CC,Coastal
2325,Hunter & Central Coast,Hunter+CC,Coastal
2326,Hunter & Central Coast,Hunter+CC,Coastal
2327,Hunter & Central Coast,Hunter+CC,Coastal
2328,Hunter & Central Coast,Hunter+CC,Coastal
2329,Hunter & Central Coast,Hunter+CC,Coastal
2330,Hunter & Central Coast,Hunter+CC,Coastal
2331,Hunter & Central Coast,Hunter+CC,Coastal
2332,Hunter & Central Coast,Hunter+CC,Coastal
2333,Hunter & Central Coast,Hunter+CC,Coastal
2334,Hunter & Central Coast,Hunter+CC,Coastal
2335,Hunter & Central Coast,Hunter+CC,Coastal
2336,Hunter & Central Coast,Hunter+CC,Coastal
2337,Hunter & Central Coast,Hunter+CC,Coastal
2338,Hunter & Central Coast,Hunter+CC,Coastal
2339,Hunter & Central Coast,Hunter+CC,Coastal
2340,New England,New England,Inland
2341,New England,New England,Inland
2342,New England,New England,Inland
2343,New England,New England,Inland
2344,New England,New England,Inland
2345,New England,New England,Inland
2346,New England,New England,Inland
2347,New England,New England,Inland
2348,New England,New England,Inland
2349,New England,New England,Inland
2350,New England,New England,Inland
2351,New England,New England,Inland
2352,New England,New England,Inland
2353,New England,New England,Inland
2354,New England,New England,Inland
2355,New England,New England,Inland
2356,New England,New England,Inland
2357,New England,New England,Inland
2358,New England,New England,Inland
2359,New England,New England,Inland
2360,New England,New England,Inland
2361,New England,New England,Inland
2362,New England,New England,Inland
2363,New England,New England,Inland
2364,New England,New England,Inland
2365,New England,New England,Inland
2366,New England,New England,Inland
2367,New England,New England,Inland
2368,New England,New England,Inland
2369,New England,New England,Inland
2370,New England,New England,Inland
2371,New England,New England,Inland
2372,New England,New England,Inland
2373,New England,New England,Inland
2374,New England,New England,Inland
2375,New England,New England,Inland
2376,New England,New England,Inland
2377,New England,New England,Inland
2378,New England,New England,Inland
2379,New England,New England,Inland
2380,New England,New England,Inland
2381,New England,New England,Inland
2382,New England,New England,Inland
2383,New England,New England,Inland
2384,New England,New England,Inland
2385,New England,New England,Inland
2386,Western NSW,Western NSW,Inland
2387,Western NSW,Western NSW,Inland
2388,New England,New England,Inland
2389,New England,New England,Inland
2390,New England,New England,Inland
2391,New England,New England,Inland
2392,New England,New England,Inland
2393,New England,New England,Inland
2394,New England,New England,Inland
2395,New England,New England,Inland
2396,New England,New England,Inland
2397,New England,New England,Inland
2398,New England,New England,Inland
2399,New England,New England,Inland
2400,New England,New England,Inland
2401,New England,New England,Inland
2402,New England,New England,Inland
2403,New England,New England,Inland
2404,New England,New England,Inland
2405,New England,New England,Inland
2406,New England,New England,Inland
2407,New England,New England,Inland
2408,New England,New England,Inland
2409,New England,New England,Inland
2410,New England,New England,Inland
2411,New England,New England,Inland
2415,Hunter & Central Coast,Hunter+CC,Coastal
2416,Hunter & Central Coast,Hunter+CC,Coastal
2417,Hunter & Central Coast,Hunter+CC,Coastal
2418,Hunter & Central Coast,Hunter+CC,Coastal
2419,Hunter & Central Coast,Hunter+CC,Coastal
2420,Hunter & Central Coast,Hunter+CC,Coastal
2421,Hunter & Central Coast,Hunter+CC,Coastal
2422,Hunter & Central Coast,Hunter+CC,Coastal
2423,Hunter & Central Coast,Hunter+CC,Coastal
2424,Hunter & Central Coast,Hunter+CC,Coastal
2425,Hunter & Central Coast,Hunter+CC,Coastal
2426,North Coast & Mid North Coast,N+MN Coast,Coastal
2427,North Coast & Mid North Coast,N+MN Coast,Coastal
